Comments,Sentiments,Like,Haha,Angry,Love,Care,Sad,Wow
মাশাআল্লাহ,Positive ,6,11,0,0,2,0,0
প্রিয় নেত্রী সাথে প্রিয় মানুষটা ♥️♥️,Positive ,1,12,0,3,0,0,1
ভাবি আর দাদি😂,Negative ,0,1,0,0,0,0,0
শুভ কামনা রইলো অপু আন্টির জন্য।,Positive ,0,0,0,0,0,0,0
"প্রোফাইল পিকটা চেন্জ করো 
আপু বিশ্বাস 
আর কতদিন থাকবে এই ছবিটা 🤣🤣🤣🤣",Negative ,1,1,0,0,0,0,0
অপু সবময় আমার প্রিয় নায়িকা শাকিবের সাথে খুব সুন্দর লাগে,Positive ,9,2,0,3,0,0,1
ভেরি নাইচ আপু  আপনাদের কে একসাথে     দেখে খুব ভালোই লাগছে দোয়া করি আপু আপনি যেন এভাবে কাটিয়ে দিতে পারেন সারাটা জীবন,Positive ,6,15,0,4,0,0,0
"আমাদের প্রাণ প্রিয় নেএী,দেশরত্ন শেখ হাসিনার সাথে আপু অনেক সুন্দর লাগতেছে আপনাকে ❤️❤️❤️",Positive ,2,2,0,2,0,0,0
মাশাল্লাহ কিউট বেবি,Positive ,2,0,0,0,0,0,0
মাশাল্লাহ রাজকুমার❤️❤️❤️,Positive ,4,0,0,0,0,0,0
"মাশাআল্লাহ, কিউট এর ডিব্বা 😍😘",Positive ,4,2,0,2,0,0,0
মাশাআল্লাহ জয় বাবা বেশি কিউট🥰🥰,Positive ,0,0,0,1,0,0,0
কলিজার টুকরা বাবাটার জন্য দোয়া রইল,Positive ,7,0,0,1,1,0,0
ওলে ওলে কিউটের ডিব্বা। সোনামণি জয় ✌ ❤️,Positive ,6,1,0,6,3,0,0
"জয় তুমি মানুষের মত মানুষ হবে, আই লাভ ইউ",Positive ,3,0,0,0,1,0,0
"সৃষ্টিকর্তা তাকে সুস্থ এবং সুন্দর রাখুক,❤️❤️❤️",Positive ,3,0,0,0,1,0,0
কলিজার টুকরা বাবার জন্য আশীর্বাদ করি,Positive ,0,0,0,0,0,0,0
দুই স্বতীনের রেষারেষিতে মানুষ অতিষ্ঠ।,Negative ,5,0,0,0,0,0,0
এসবের সাথে পরিচিত করাটা ভীষণ ভালো ।,Positive ,10,0,0,8,2,0,0
অপু দি অনেক চিকন হয়ে গেছো মাশাআল্লাহ্ 💚🥰👌,Positive ,15,1,0,1,0,0,0
জীবনে সবকিছুর অভিজ্ঞতা রাখা ভালো,Positive ,6,0,0,5,0,0,0
সুপার মায়ের সুপার হিরো। সত্যিই অসাধারণ।,Positive ,4,0,0,0,0,0,0
সত্যি ভিডিওটা অসাধারণ দেখে চোখে পানি চলে আসলো শুকুর আলহামদুলিল্লাহ এ বন্ধন থাকুক সারা জীবন মাশাল্লাহ মাশাল্লাহ,Positive ,3,0,0,1,0,0,0
শাকিব খান অপু বিশ্বাস জয় জন্য শুভ কামনা রইলো 👩‍❤️‍👩💟,Positive ,4,0,0,2,0,0,0
"যেসব নয়াবড়লোক রা ভ্যান চালক রিক্সা চালক দের দেখে অহংকার করে,,ভিডিও টা তাদের দেখা উচিত 💝💝মানুষ সবাই সমান,,,",Positive ,19,0,0,11,2,0,0
অসাধারণ ❤️,Positive ,2,1,0,3,1,0,1
"মাসা আল্লাহ, ভাল থাক সব সময় বাবাইটাকে নিয়ে",Positive ,0,0,0,1,0,0,0
তুমি না থাকলে এই ভালোবাসা সৃষ্টি হতোনা... 💗💗,Positive ,5,0,0,3,0,0,0
"সো বিউটিফুল কলিজার অপু আপু জয় তোমাদের দুই জনকে অনেক ভালো বাসি, মাঝে মধ্যে এমন সুন্দর পিক আমাদের উপহার দিও ❤️❤️",Positive ,4,0,0,3,0,0,0
"সত্যিই তাই, খুব সুন্দর,ভালো লাগলো দেখে।",Positive ,2,0,0,1,0,0,0
অনেক সুন্দর লাগছে দুজনকে,Positive ,2,0,0,1,0,0,0
🤞অনেক 🥀🥰সুন্দর 🥀🍂🫶😊হইছে 🥀😊,Positive ,1,0,0,1,0,0,0
মাশাআল্লাহ্ আব্রাহাম গুলুমুলু😘😘😘,Positive ,1,0,0,1,0,0,0
জীবনে কি রিপ্লাই  পাবো না.  আপনার থেকে???,Negative ,2,0,0,1,0,0,0
"মাশাল্লাহ,  এভাবেই সবসময়ই জয় কে নিয়ে হাসিখুশি থেকো দিদি। কারো নজর যেনো না লাগে এই দোয়া করি। 😍😍😍",Positive ,0,0,0,1,0,0,0
মাশাল্লাহ  খুব সুন্দর  দুটো চাঁদের আলো,Positive ,0,0,0,0,0,0,0
ভালো বাসা অবিরাম জয়❤️❤️❤️❤️❤️❤️,Positive ,0,0,0,0,0,0,0
