Comments,Sentiments,Like,Haha,Angry,Love,Care,Sad,Wow
"ট্রেলার দেখলাম। এ এক নতুন জায়েদ খান। 
শুভ কামনা Zayed Khan 🌹",Positive,3,3,0,2,0,0,0
উগান্ডা থেকে অস্কার প্রাপ্ত ছবি 🫣 সত্যি কথা আমি পাম দেওয়া তেল মারা পছন্দ করিনা🤣🤣🤣,Negative,4,5,0,0,0,0,0
"দর্শক থাকবো ৩ জন।
 একটা জায়েদ খান, আরেক টা জায়েদ খান, আরেকটাও জায়েদ খান",Negative,3,27,0,0,0,0,0
"কাউয়ায় ও পাখি 🐦
জায়েদ খানেও নায়ক 🤩
বাবা তোমার দরবারে সব পাগলের খেলা 🤩",Negative,0,0,0,0,0,0,0
"প্রচন্ড শীতের মধ্যে কাদামাটিতে লুটিয়ে এই ছবিটি করেছে জায়েদ খান ইতিহাস হয়ে থাকবে

আশা রাখি বক্স অফিসে প্রথম দিনেই ঝড় তুলবে",Negative,0,12,0,0,0,0,0
গোপনে হল মালিকদের কিছু টাকা দিয়েন তা না হলে এই ঈদে একটি নতুন রেকর্ড হবে কোন হল মালিক‌ই সোনার চর নিল না আবার যারা নিল বিদ্যুৎ বিল ই উঠলো না,Negative,2,15,0,0,0,0,0
"যে সময়টা ট্রেইলার দেখে খরচ করছি
আমি সেই সময়টা ফেরত চাই 😐",Negative,0,2,0,0,0,0,0
জাহিদ খানের মুভির ছবির চেয়ে সাংবাদিকদের সাথে কথা বলে তখনি দেখতে মনে হয় ভালো লাগে। সাংবাদিকদের প্রশ্নের উওরে একটু হাসতে পারি🤣🤣🤣,Negative,0,3,0,0,0,0,0
সোনায় চর ...?,Neutral,1,3,0,0,0,0,0
"আপনার অনেক ফিল্ম দেখেছি। এই পর্যন্ত কোন ফিল্ম ভালো বলে মনে হয়নি।
আপনার এই পোস্টারেও আমার চোখে ভুল দেখা দিয়েছে। আর পুরা ফিল্মের কি হবে জানিনা।
যাই হউক,,,,,,,, আপনার জন্য শুভকামনা রইল।।",Positive,0,2,0,0,0,0,0
অস্কার পাইবেন ভাই।,Positive,0,0,0,0,0,0,0
Zayed Khan ভাইয়া আমরা ইতালি থেকে কি ভাবে দেখবো প্লিজ রিপ্লাই দিবেন......🙏,Positive,0,5,0,0,0,0,0
মানুষ যখন ডিপ্রেশনের লাস্ট স্টেজে থাকবে ঈদের সময় তারাই এই মুভি দেখতে হলে যাবে 😁,Negative,1,0,0,0,0,0,0
"ভাই আমি উত্তর কোরিয়া থাকি
এখানে কি আপনার ছবি মুক্তি পাবে?

হলে জানাবেন আমি দেখতে যাব",Positive,0,2,0,0,0,0,0
শুভেচ্ছা ও অভিনন্দন রইল হিরো ভাই 💓🧡,Positive,1,0,0,0,0,0,0
শুভ কামনা রইল,Positive,0,0,0,0,0,0,0
দর্শক কে হাত পা ধরে হলে নিয়ে যাইতে হবে।।।।,Negative,0,0,0,0,0,0,0
"আমরা না হয় বুঝলাম সোনার চর।
অন্য জেলার মানুষ সোনা বলতে অন্য কিছু বুঝে।",Negative,0,0,0,0,0,0,0
"১০টা সিনেমা হল পাবেনা এই মুভি, যদি ১০টা হল পায় তাহলে আমি সারাজীবনের জন্য জায়েদ খানের ভক্ত হয়ে যাব।",Negative,0,0,0,0,0,0,0
"সিনেমা হলের লোকদের সিগারেট এর বিল উঠবে কি না সন্দেহ 😐
ট্রেইলার দেখে আমি পুরা কেন্দে দিয়েছি😐",Negative,1,3,0,0,0,0,1
"যেই লোক এই সিনেমায় টাকা ইনভেস্ট করছে 
তার জন্য আমার অনেক কস্ট হয় বেচারা 😣",Negative,1,2,0,0,0,0,0
কাদায় গড়াগড়ি করার কি দরকার,Neutral,1,2,0,0,0,0,0
বিন্যাশ কইরা লাইছে!,Neutral,0,2,0,0,0,0,0
সোনার ছবি,Negative,0,0,0,0,0,0,0
অবশেষে সোনায় চড়,Negative,0,0,0,0,0,0,0
আপনার সোনার চারের পোস্টের যে অবস্থা তা দেখেই দর্শক বুঝে যাবে যে ভিতরের মাল মসলা কেমন হবে।,Negative,0,0,0,0,0,0,0
"যে যাই বলুক, আপনি এগিয়ে যাচ্ছেন। আপনার সততা, অক্লান্ত পরিশ্রম, স্পষ্ট বাচনভঙ্গি এবং প্যাশন সচেতনতা আপনাকে নিয়ে যাবে সফলতার সর্বোচ্চ শিখরে। আপনি একজন নায়ক, একজন মোটিভেশনাল স্পিকার এবং একজন গায়ক।আপনাকে বহুমুখী প্রশ্নবাণে জর্জরিত করতে চেয়ে অনেক উপস্থাপকই উত্তরের তীক্ষ্ণতায় ক্ষতবিক্ষত হয়েছে। যারা পিছনে আপনাকে নিয়ে ট্রল করে, দেখা হলে তারাই প্রথম আপনার সাথে সেলফি তুলবে ; এখানেই আপনার সফলতা। শাকিব খানের সাথে কেবল আপনিই তুলনীয়। আপনারা দু'জন বিশেষ করে আপনি কাজ বন্ধ করে দিলে শতশত ইউটিউবারের জীবনে ঘোর অমানিশার কালোছায়া নেমে আসবে,আপনার জন্যই অনেক ইউটিউবার পরিবারে একমুঠো অন্ন জুটে। আপনি একদিন শাকিব খানকে অতিক্রম করবেন, আপনার পরিশ্রম এবং কনফিডেন্স লেভেল দেখে আমার কাছে এটাই মনে হয়। প্রত্যাশা করি, একদিন সালমান খানকেও অতিক্রম করবেন। শুভকামনা নিরন্তর।
~ রাসেল ইব্রাহীম",Positive,0,0,0,0,0,0,0
"যেমন গল্প তেমন নায়ক এবং পরিচাল, ও বালের এডিটিং।",Negative,0,0,0,0,0,0,0
একটা কথা বলার ছিলো ভাইয়া,Neutral,0,0,0,0,0,0,0
২০২৪ সালের সেরা কমেডি মুভি হবে এটা। পরিবারসহ দেখতে যাবো।,Negative,0,2,0,0,0,0,0
আমিও দেখবো অসাধারণ,Positive,0,1,0,0,0,0,0
আপনি নিজেই তো একটা সো** 😄🥱,Negative,0,0,0,0,0,0,0
নিউজ টা দেখার সময় বাতরুলে ছিলাম🤐,Negative,0,0,0,0,0,0,0
"ঠিক আছে ""কাকু ""শুভকামনা রইল।।।...",Positive,1,0,0,0,0,0,0
লাগের কেইল্লে,Neutral,0,0,0,0,0,0,0
গাই মার্কা,Negative,0,0,0,0,0,0,0
"ভাই, বেইলি রোডে ৪৩ জন মারা গেছে সবাই শোকাহত। একটু সচেতন হোন।",Neutral,0,0,0,0,0,6,0
শুভ রাত্রি সোনা ভাই,Negative,0,0,0,0,0,0,0
"ভাই মিরপুর ডিপজল সাহেবের এশিয়া হলে যদি আপনার ছবি টা চালায় তাহলে দেখবো কথা দিলাম, আমার মনে হয় না ভাই আপনার এই সোনার চরের ছবি ডিপজল সাহেবের এশিয়া হলে চালাবে, এশিয়া হলে চললে দেখতাম।",Neutral,0,0,0,0,0,0,0
বোদার চর এ আবার কেমন ছবি,Negative,0,2,0,0,0,0,0
সব চাইতে সের দর্শক হবে কিন্তু হিরো আলমের থেকে ও কম দর্শক হবে জায়েদ খানের।,Negative,0,1,0,0,0,0,0
সোনার চামড়া-,Negative,0,0,0,0,0,0,0
একটু ইমোশনাল হয়ে গেলাম ☺️😌,Neutral,0,0,0,0,0,0,0
ডিগবাজি আছে তো?,Negative,0,1,0,0,0,0,0
জায়েদ খান নাকি সবার ক্রাস 😎,Neutral,0,1,0,0,0,0,0
জায়েদ ভাই নাকি ??? চিনতেই পারিনি 😊,Neutral,0,0,0,0,0,0,0
অবশেষে আপনার সোনায় চর পড়াতে অভিনন্দন ভাই।🫣,Negative,0,0,2,0,0,0,0
